Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,2048,11.024949,0.3118,0.1305,0.2362,267.30,0.0
2,4096,10.536938,0.1589,0.0337,0.1650,69.00,0.0
3,6144,10.432302,0.1227,0.0015,0.0191,3.10,0.0
4,8192,10.250247,0.0578,0.0250,0.1621,51.30,0.0
5,10240,10.048588,0.5266,0.0865,0.3317,177.10,0.0
6,12288,10.032515,0.6192,0.1492,0.3864,305.65,0.0
7,14336,10.569113,0.6330,0.1264,0.2858,258.83,0.0
8,16384,10.245855,0.6852,0.1241,0.3681,254.15,0.0
9,18432,10.085238,0.2819,0.0660,0.1997,135.12,0.0
10,20480,9.793066,0.5145,0.2318,0.4477,474.70,0.0
11,22528,10.472548,0.5219,0.1809,0.4170,370.45,0.0
12,24576,10.549950,0.6272,0.2410,0.4385,493.52,0.0
13,26624,10.424607,0.7390,0.2171,0.4318,444.62,0.0
14,28672,10.135908,0.8835,0.2067,0.4690,423.23,0.0
15,30720,10.243385,1.2740,0.2610,0.4656,534.45,0.0
16,32768,10.180599,0.1941,0.2754,0.4952,564.03,0.0
17,34816,10.037245,0.8472,0.2526,0.4999,517.25,0.0
18,36864,10.269422,1.1473,0.2498,0.4799,511.53,0.0
19,38912,9.947426,-0.0641,0.3121,0.4845,639.10,5.5
20,40960,10.297549,1.6054,0.3158,0.5232,646.80,0.0
21,43008,10.554312,1.4886,0.3014,0.5185,617.22,0.0
22,45056,10.057773,0.9154,0.2909,0.5299,595.68,0.0
23,47104,10.164106,0.8064,0.3508,0.5359,718.43,0.0
24,49152,10.842580,1.0585,0.3312,0.5073,678.35,0.0
25,51200,10.229091,1.1420,0.2522,0.4787,516.47,0.0
26,53248,10.126358,0.5020,0.3428,0.5041,702.12,0.0
27,55296,10.265261,0.8067,0.4066,0.5351,832.68,0.0
28,57344,10.399192,0.9870,0.3232,0.5536,661.88,0.0
29,59392,10.263628,1.4493,0.3811,0.5440,780.58,0.0
30,61440,10.190727,1.5557,0.3889,0.5744,796.52,0.0
31,63488,10.269470,1.1773,0.3494,0.5810,715.47,0.0
32,65536,10.061731,1.3002,0.4016,0.5588,822.55,0.0
33,67584,10.277209,1.1683,0.3457,0.5883,707.92,0.0
34,69632,10.199010,1.6094,0.2626,0.5635,537.85,0.0
35,71680,10.113603,0.9034,0.3243,0.5218,664.07,0.0
36,73728,10.113497,0.2993,0.3400,0.5383,696.33,0.0
37,75776,10.200078,0.6512,0.3591,0.5882,735.50,0.0
38,77824,10.327914,1.1368,0.3535,0.5498,723.90,0.0
39,79872,10.031750,0.6624,0.3985,0.5470,816.07,0.0
40,81920,10.423294,1.4384,0.3163,0.5790,647.78,0.0
41,83968,10.205342,0.8455,0.3804,0.6050,779.03,0.0
42,86016,10.057924,0.7948,0.3710,0.5750,759.72,0.0
43,88064,10.219583,1.8544,0.3369,0.6053,689.97,0.0
44,90112,10.064489,1.2636,0.3666,0.5620,750.75,0.0
45,92160,9.926160,0.6792,0.4106,0.5518,840.95,0.0
46,94208,10.553956,2.1428,0.3376,0.5157,691.33,5.5
47,96256,10.712106,0.9909,0.3082,0.5772,631.20,0.0
48,98304,10.120817,1.6148,0.3023,0.5756,619.03,0.0
49,100352,9.963292,0.7253,0.3079,0.5552,630.55,0.0
50,102400,10.044336,1.4264,0.3331,0.5700,682.20,0.0
51,104448,9.857224,0.5431,0.4233,0.5731,866.92,0.0
52,106496,10.069423,1.3622,0.2869,0.5690,587.62,0.0
53,108544,10.239822,0.5343,0.4135,0.5434,846.88,0.0
54,110592,10.233752,1.0615,0.3784,0.5553,774.92,0.0
55,112640,10.003159,1.2482,0.3790,0.5751,776.20,0.0
56,114688,10.076186,1.0909,0.3940,0.5689,806.95,0.0
57,116736,10.452304,0.5503,0.4228,0.5432,865.85,0.0
58,118784,9.986546,1.3075,0.3886,0.5918,795.95,0.0
59,120832,10.240230,0.8258,0.3448,0.5468,706.17,0.0
60,122880,9.909119,1.0593,0.3183,0.5976,651.80,0.0
61,124928,10.309899,0.1807,0.4302,0.5376,880.97,0.0
62,126976,9.778038,1.2664,0.3715,0.5651,760.82,0.0
63,129024,10.030646,0.7209,0.3810,0.5994,780.35,0.0
64,131072,9.667986,0.9554,0.3953,0.5724,809.58,0.0
65,133120,10.220984,0.7365,0.4130,0.5685,845.85,0.0
66,135168,10.208098,1.3027,0.3320,0.6129,680.00,0.0
67,137216,10.193055,0.8431,0.3775,0.5924,773.05,0.0
68,139264,10.142413,1.5659,0.3587,0.5834,734.52,0.0
69,141312,9.717035,1.3620,0.3619,0.5439,741.10,0.0
70,143360,10.055284,0.9415,0.3678,0.5631,753.35,0.0
71,145408,10.229126,1.1467,0.3312,0.5771,678.30,0.0
72,147456,10.137904,0.6265,0.4137,0.5959,847.28,0.0
73,149504,10.283976,1.3899,0.3898,0.5984,798.28,0.0
74,151552,10.118996,1.0309,0.4222,0.5897,864.65,0.0
75,153600,9.868639,1.3438,0.4643,0.5532,950.90,0.0
76,155648,10.302945,1.7314,0.3890,0.6081,796.65,0.0
77,157696,10.999763,1.2917,0.3676,0.5908,752.75,0.0
78,159744,10.254384,0.7774,0.3985,0.5893,816.10,0.0
79,161792,10.193318,1.0830,0.4407,0.5800,902.55,0.0
80,163840,10.089541,1.5039,0.4049,0.5802,829.23,0.0
81,165888,10.138108,0.9609,0.4402,0.6015,901.58,0.0
82,167936,10.255997,0.9251,0.3940,0.5904,806.85,0.0
83,169984,9.966490,0.8500,0.4278,0.6051,876.17,0.0
84,172032,10.055334,1.9791,0.4098,0.6111,839.22,0.0
85,174080,10.268969,1.3820,0.4423,0.5835,905.90,0.0
86,176128,9.700631,0.9293,0.3633,0.6020,743.97,0.0
87,178176,10.406002,0.8880,0.4412,0.5662,903.60,0.0
88,180224,10.185766,1.3175,0.4139,0.5949,847.75,0.0
89,182272,10.166246,1.1200,0.4336,0.6074,887.95,0.0
90,184320,10.313783,1.4459,0.4172,0.5473,854.42,0.0
91,186368,9.943495,1.6065,0.3376,0.5173,691.46,5.5
92,188416,9.968209,1.0990,0.4020,0.6062,823.20,0.0
93,190464,10.773041,0.8884,0.5100,0.5460,1044.45,0.0
94,192512,10.325241,1.3886,0.4229,0.6258,866.08,0.0
95,194560,10.560194,1.4829,0.3616,0.5629,740.55,0.0
96,196608,10.117083,0.4255,0.4702,0.5556,963.00,0.0
97,198656,10.364533,1.2304,0.4571,0.5678,936.08,0.0
98,200704,10.844219,0.6942,0.4714,0.5766,965.38,0.0
99,202752,10.954617,1.0707,0.4990,0.5907,1022.05,0.0
100,204800,10.591396,1.7077,0.3917,0.5722,802.25,0.0
101,206848,9.988569,1.4449,0.4307,0.6008,882.05,0.0
102,208896,10.340531,1.3078,0.3815,0.5910,781.22,0.0
103,210944,10.328160,1.0190,0.4896,0.5793,1002.72,0.0
104,212992,10.480043,1.1685,0.4123,0.5874,844.45,0.0
105,215040,10.974666,1.3141,0.4293,0.5798,879.28,0.0
106,217088,10.473993,1.1862,0.3966,0.6189,812.20,0.0
107,219136,10.733327,1.0273,0.5198,0.5461,1064.47,0.0
108,221184,10.592628,1.4249,0.4756,0.6007,974.08,0.0
109,223232,10.828431,1.4207,0.4415,0.5787,904.28,0.0
110,225280,10.137862,1.2842,0.3318,0.5965,679.58,0.0
111,227328,10.636792,0.8911,0.3846,0.5465,787.67,0.0
112,229376,10.527192,1.3633,0.3312,0.5954,678.33,0.0
113,231424,11.011066,0.7947,0.4335,0.5733,887.83,0.0
114,233472,10.999938,1.4596,0.3184,0.5082,652.12,0.0
115,235520,10.528032,1.0223,0.2756,0.5291,564.43,0.0
116,237568,10.664304,0.9037,0.3240,0.5551,663.59,5.25
117,239616,10.115215,1.6853,0.3494,0.5470,715.47,0.0
118,241664,10.258026,1.0619,0.2774,0.4727,568.10,0.0
119,243712,9.815990,0.4819,0.2964,0.5177,606.97,0.0
