image,state
./data/allitems/images/197.png,./data/allitems/states/197_state.json
./data/allitems/images/199.png,./data/allitems/states/199_state.json
./data/allitems/images/201.png,./data/allitems/states/201_state.json
./data/allitems/images/203.png,./data/allitems/states/203_state.json
./data/allitems/images/205.png,./data/allitems/states/205_state.json
./data/allitems/images/207.png,./data/allitems/states/207_state.json
./data/allitems/images/209.png,./data/allitems/states/209_state.json
./data/allitems/images/211.png,./data/allitems/states/211_state.json
./data/allitems/images/213.png,./data/allitems/states/213_state.json
./data/allitems/images/215.png,./data/allitems/states/215_state.json
./data/allitems/images/217.png,./data/allitems/states/217_state.json
./data/allitems/images/219.png,./data/allitems/states/219_state.json
./data/allitems/images/221.png,./data/allitems/states/221_state.json
./data/allitems/images/223.png,./data/allitems/states/223_state.json
./data/allitems/images/225.png,./data/allitems/states/225_state.json
./data/allitems/images/227.png,./data/allitems/states/227_state.json
./data/allitems/images/229.png,./data/allitems/states/229_state.json
./data/allitems/images/231.png,./data/allitems/states/231_state.json
./data/allitems/images/233.png,./data/allitems/states/233_state.json
./data/allitems/images/235.png,./data/allitems/states/235_state.json
./data/allitems/images/237.png,./data/allitems/states/237_state.json
./data/allitems/images/239.png,./data/allitems/states/239_state.json
./data/allitems/images/241.png,./data/allitems/states/241_state.json
./data/allitems/images/243.png,./data/allitems/states/243_state.json
./data/allitems/images/245.png,./data/allitems/states/245_state.json
./data/allitems/images/247.png,./data/allitems/states/247_state.json
./data/allitems/images/249.png,./data/allitems/states/249_state.json
./data/allitems/images/251.png,./data/allitems/states/251_state.json
./data/allitems/images/253.png,./data/allitems/states/253_state.json
./data/allitems/images/255.png,./data/allitems/states/255_state.json
./data/allitems/images/257.png,./data/allitems/states/257_state.json
./data/allitems/images/259.png,./data/allitems/states/259_state.json
./data/allitems/images/261.png,./data/allitems/states/261_state.json
./data/allitems/images/263.png,./data/allitems/states/263_state.json
./data/allitems/images/265.png,./data/allitems/states/265_state.json
./data/allitems/images/267.png,./data/allitems/states/267_state.json
./data/allitems/images/269.png,./data/allitems/states/269_state.json
./data/allitems/images/271.png,./data/allitems/states/271_state.json
./data/allitems/images/273.png,./data/allitems/states/273_state.json
./data/allitems/images/275.png,./data/allitems/states/275_state.json
./data/allitems/images/277.png,./data/allitems/states/277_state.json
./data/allitems/images/279.png,./data/allitems/states/279_state.json
./data/allitems/images/281.png,./data/allitems/states/281_state.json
./data/allitems/images/283.png,./data/allitems/states/283_state.json
./data/allitems/images/285.png,./data/allitems/states/285_state.json
./data/allitems/images/287.png,./data/allitems/states/287_state.json
./data/allitems/images/289.png,./data/allitems/states/289_state.json
./data/allitems/images/291.png,./data/allitems/states/291_state.json
./data/allitems/images/293.png,./data/allitems/states/293_state.json
./data/allitems/images/295.png,./data/allitems/states/295_state.json
./data/allitems/images/297.png,./data/allitems/states/297_state.json
./data/allitems/images/299.png,./data/allitems/states/299_state.json
./data/allitems/images/301.png,./data/allitems/states/301_state.json
./data/allitems/images/303.png,./data/allitems/states/303_state.json
./data/allitems/images/305.png,./data/allitems/states/305_state.json
./data/allitems/images/307.png,./data/allitems/states/307_state.json
./data/allitems/images/309.png,./data/allitems/states/309_state.json
./data/allitems/images/311.png,./data/allitems/states/311_state.json
./data/allitems/images/313.png,./data/allitems/states/313_state.json
./data/allitems/images/315.png,./data/allitems/states/315_state.json
./data/allitems/images/317.png,./data/allitems/states/317_state.json
./data/allitems/images/319.png,./data/allitems/states/319_state.json
./data/allitems/images/321.png,./data/allitems/states/321_state.json
./data/allitems/images/323.png,./data/allitems/states/323_state.json
./data/allitems/images/325.png,./data/allitems/states/325_state.json
./data/allitems/images/327.png,./data/allitems/states/327_state.json
./data/allitems/images/329.png,./data/allitems/states/329_state.json
./data/allitems/images/331.png,./data/allitems/states/331_state.json
./data/allitems/images/333.png,./data/allitems/states/333_state.json
