image,state
./data/antipacifist/images/42.png,./data/antipacifist/states/42_state.json
./data/antipacifist/images/197.png,./data/antipacifist/states/197_state.json
./data/antipacifist/images/198.png,./data/antipacifist/states/198_state.json
./data/antipacifist/images/199.png,./data/antipacifist/states/199_state.json
./data/antipacifist/images/200.png,./data/antipacifist/states/200_state.json
./data/antipacifist/images/201.png,./data/antipacifist/states/201_state.json
./data/antipacifist/images/202.png,./data/antipacifist/states/202_state.json
./data/antipacifist/images/203.png,./data/antipacifist/states/203_state.json
./data/antipacifist/images/204.png,./data/antipacifist/states/204_state.json
./data/antipacifist/images/205.png,./data/antipacifist/states/205_state.json
./data/antipacifist/images/206.png,./data/antipacifist/states/206_state.json
./data/antipacifist/images/207.png,./data/antipacifist/states/207_state.json
./data/antipacifist/images/208.png,./data/antipacifist/states/208_state.json
./data/antipacifist/images/209.png,./data/antipacifist/states/209_state.json
./data/antipacifist/images/210.png,./data/antipacifist/states/210_state.json
./data/antipacifist/images/211.png,./data/antipacifist/states/211_state.json
./data/antipacifist/images/212.png,./data/antipacifist/states/212_state.json
./data/antipacifist/images/213.png,./data/antipacifist/states/213_state.json
./data/antipacifist/images/214.png,./data/antipacifist/states/214_state.json
./data/antipacifist/images/215.png,./data/antipacifist/states/215_state.json
./data/antipacifist/images/216.png,./data/antipacifist/states/216_state.json
./data/antipacifist/images/217.png,./data/antipacifist/states/217_state.json
./data/antipacifist/images/218.png,./data/antipacifist/states/218_state.json
./data/antipacifist/images/219.png,./data/antipacifist/states/219_state.json
./data/antipacifist/images/220.png,./data/antipacifist/states/220_state.json
./data/antipacifist/images/221.png,./data/antipacifist/states/221_state.json
./data/antipacifist/images/222.png,./data/antipacifist/states/222_state.json
./data/antipacifist/images/223.png,./data/antipacifist/states/223_state.json
./data/antipacifist/images/224.png,./data/antipacifist/states/224_state.json
./data/antipacifist/images/225.png,./data/antipacifist/states/225_state.json
./data/antipacifist/images/226.png,./data/antipacifist/states/226_state.json
./data/antipacifist/images/227.png,./data/antipacifist/states/227_state.json
./data/antipacifist/images/228.png,./data/antipacifist/states/228_state.json
./data/antipacifist/images/229.png,./data/antipacifist/states/229_state.json
./data/antipacifist/images/230.png,./data/antipacifist/states/230_state.json
./data/antipacifist/images/231.png,./data/antipacifist/states/231_state.json
./data/antipacifist/images/232.png,./data/antipacifist/states/232_state.json
./data/antipacifist/images/233.png,./data/antipacifist/states/233_state.json
./data/antipacifist/images/234.png,./data/antipacifist/states/234_state.json
./data/antipacifist/images/235.png,./data/antipacifist/states/235_state.json
